t[ei]n.* que;
bueno;
loco;
tio;
abarat.*;
abarc.*;
abarrot.*;
abast.*;
abat.*;
abertura;
abob.*;
aboll.*;
abotxorn.*;
abrotx.*;
abutxe.*;
acantil.*;
acarrej.*;
acàs ;
acaudal.*;
acera;
aclar.*;
aclaració;
acometida;
aconteixement;
acoplament;
acos.*/acoss.*;
acostumbr.*;
acovard.*;
acreedor;
acuny.*;
acuse de recibo;
adecent.*;
adelant.*;
ademés;
adiestr.*;
admit.*;
adoléix.*;
adoquí;
a dures penes;
afan;
afan.*-se;
afe.*;
afrenta;
agalles;
agasajo;
agatx.*-se;
agobi.*;
agot.*;
agrad;
agrav.*;
agravi.*;
agravio;
agüero;
aguileny, aguilenc;
agujetes;
agulletes;
ahínco;
ahorr.*;
aigu.*;
ajedrès;
alabança;
alab.*;
alardej.*;
albedrío;
albornós;
alboroto;
alcanç.*;
aldaba;
aleació;
alent.*;
alevosia;
alfar.*;
alfombra;
alicaigut;
aliento;
aliny.*;
alivi.*;
almeja;
almorrana;
alpiste;
alquil.*;
alquitrà;
alrededors;
altillo;
alumbr.*;
allunitz.*;
amaestr.*;
amamant.*;
amanéix.* ;
amanéix.* ;
amans.*;
amapola;
àmb.*;
ambos;
ameno;
ameriss.*;
amilan.*-se;
aminor.*;
amodorr.*-se;
amold.*;
amordass.*;
amortigu.*;
amparo;
ampolla;
amurall.*;
ancla;
andami;
andén;
àngul;
angustia;
anid.*;
ansi.*;
antebraç;
antes;
anticipo;
antifàs;
antoj.*-se;
anyad.*;
apacible;
apacigu.*;
apanyo;
aparato;
aparatós;
apariència;
apego;
apen.*;
apenes;
apercib.*;
apissonadora;
aplaç.*;
aplastant;
aplast.*;
aplauso;
apoi.*;
apolill.*-se;
apremi.*;
apres.*;
apressuradament;
apret.*;
apur.*;
apuro;
aquestos;
armonia;
arandela;
àrb.*;
arboleda;
arcén;
arcilla;
aro;
arrabal;
arraig.*;
arranque;
arrastr.*;
arrebat.*;
arrecif;
arreglo;
arremetida;
arrepent.*-se;
arroj.*;
arroio;
arroll.*;
arteson.*;
artilugi;
artimanya;
asador;
as.*;
asco;
assedi.*;
assedio;
aseo;
asombrós;
asqua;
assafata;
assamblea;
assiento;
assom.*;
assombr.*;
assunto, assumpt, assumpte;
asust.*;
astilla;
astill.*;
atadura;
atare.*;
atasc.*;
ataüt;
atavi.*-se;
atemoris.*;
aterr.*;
aterriss.*;
atestigu.*;
atiborr.*;
atolondr.*;
atolondr.*;
atornill.*;
atragant.*-se;
atràs;
atravess.*;
atril;
atzavatxe;
aull.*;
aun.*;
aunque;
avalanxa;
avantpos.*;
avaro;
avasall.*;
averigu.*;
avestruç;
avorréix.*;
avui en dia;
babosa;
bactèria;
badén;
bahia;
balsa;
bandeja;
bandido;
banquillo;
barco;
barquillo;
barrunt.*;
bàrtuls;
bassura;
bat.*;
bedel;
berberecho;
biombo;
bisagra;
bisco;
bisiesto;
bisuteria;
bobada;
bobo;
bocacalle;
bocadillo;
bocina;
bócio;
bolso;
bombilla;
bonito;
boquete;
botiquí;
botxorn;
bucej.*;
buhardilla;
buitre;
bulto;
búsqueda;
busso;
bussó;
cabestrillo;
cadera;
calent.*;
calentura;
calific.*;
calit.*;
càmara;
camarí;
camarot;
camilla;
camilla;
caminata;
candau, cand.*;
candelabro;
cansanci;
cantit.*;
canyeria;
caradura;
carajillo;
careig;
caréix.*;
carinyo;
carinyós;
carinyosament;
cartelera;
cascarràbies;
casi;
catarates;
catastre;
catxivatxe;
catxondo;
caudal;
cautiu;
cebo;
celofà;
celós;
celosia;
cerradura;
cerrajero;
cerrojo;
césped;
cetro;
cierre;
ciervo;
cigüenya;
ciment.*;
cinzell;
ciudatà;
claret.*;
claro;
coalig.*-se;
cofradia;
coixera;
colilla;
col·lision.*;
coletilla;
colgador;
colm.*;
colmena;
colmo;
columpi;
compadéix.*;
companyerisme;
complexe;
compostura;
comunment;
concejal;
condó;
condolència;
conllev.*;
connexion.*;
cono;
conta;
convulsion.*;
conxa;
copla;
copo;
corassonada;
corba;
cordillera;
cordura;
corpinyo;
corriment;
corsé;
corseteria;
costra;
cotej.*;
cotidià;
cotilla;
coto;
cotxino;
creència;
criad.*;
crio;
cro.*;
crus.*;
cruse;
cuartel;
cuarto;
cuba;
cubil.*;
cubito;
cuerno;
cuero;
cuidadós;
culebra;
culpabilitz.*;
cumpleanys;
cuna;
cunya;
cupo;
curiosej.*;
curva;
cutxilla;
danyí;
de p.* en p.*;
debacle;
debat.*;
decà, decano;
decepcion.*;
decimonònic;
decodificador;
dehesa;
delantal;
demés ;
depar.*;
derramament;
derram.*;
derret.*;
derrib.*;
derrotx.*;
desafor.*;
desavenència;
desasse.*;
desagravi.*;
desahogo;
desahuci.*;
desarme;
desarroll.*;
descaro;
descoll.*;
descuid.*;
desde luego;
desditxa;
desempeny.*;
desenfad.*;
desetxable;
desetx.*;
desfalléix.*;
desfile;
desganyit.*-se;
desguass.*;
deslís;
deslumbr.*;
desmadr.*-se;
desmoron.*-se;
despampanant;
despedida;
desped.*;
despegue;
despej.*;
despensa;
despido;
despilfarr.*;
despreci;
desprovist;
destino;
destornillador;
desvanéix.*;
detent.*;
deuda;
dintel;
disfrut.*;
dispondre;
distingo;
ditxa;
ditxo;
ditxós;
divis.*;
don.* a la fuga;
don.*-se compte;
dormiló;
drogadicte;
eje;
empany.*;
empeny.*;
empeny.*-se;
emple.*;
en ves de;
encaréix.*;
encariny.*-se;
encendedor;
encimera;
encina;
enchufe;
enfado;
enfermet.*;
engorròs;
engrass.*;
enhorabona;
enmienda;
enredo;
ensaladera;
ensaladilla;
ensalç.*;
ensenada;
ensimism.*;
enter.*-se;
entorp.*;
entrany.*;
envio;
equis;
escalofrio;
escam.*;
escany;
escaparate;
escarxa;
escollo;
esguinç;
eslabó;
esmeralda;
esmer.*-se;
espuma;
esquàlid;
estall.*;
estància;
estera;
estorní;
estrell.*-se;
estreméix.*;
estribo;
esvanéix.*;
etxura;
exprimidor;
extendre;
extradit.*;
extrang.*;
extrany;
fall.* ;
fallo;
fardo;
farol;
favoréix.*;
favor.*;
fetxa;
fehacient;
felicitats;
felpa;
fi i al cap ;
fiambre;
fiambrera;
financi.*;
finiquito;
fleco;
flet.* ;
fletxasso;
floréix.*;
foll.*;
formateig;
formatej.*;
frambuessa;
frescura ;
fresó;
friol.*;
front a;
fronterís;
fulla;
fundició;
gafe;
galardon.*;
galgo;
ganad.*;
ganància;
garabato;
garantitz.*;
gasto;
gatell, *gatillo;
gavilà;
gaviota;
gemelos;
glaci.*;
golossines;
gordo;
gorgorito;
gotero;
grajea;
grave;
grieta;
grifo;
guardabarros;
guarida;
guasson;
guirnalda;
hacienda;
halag.*;
hardware;
hassanya;
hasta;
hetxura;
hiedra;
hiel;
hinxa;
hipo;
hojaldre;
hombrera;
hongo;
hosped.*;
hossico;
hostig.*;
hueco;
huella;
huerfano;
huésped;
humill.*;
húng.*;
hutxa;
icono;
iman;
immediacions;
imp.*;
imprenta;
inalàmbric;
incaut.*-se;
inclús;
inconfundible;
incurr.*;
infund.*;
ingini.*;
ingle;
inhalàmbric;
injert.*;
inscrib.*;
insert.*;
interrump.*;
invernad.*;
invernal;
inverosímil;
iraquí;
israelí;
jabalí;
jalea;
jaleo;
jamó;
jaque;
jarabe;
jarra;
jaula;
jefatura;
jinete;
juanete;
junt a;
junt.*;
jusg.*;
laçarillo;
lacra;
ladera;
lago;
laguna;
làmpara;
lanxa;
lavanderia;
leal;
lealt.*;
lejia;
lentejueles;
lentilla;
ligero;
lija;
lij.*;
limosna;
limpiaparabrises;
lio;
llaga;
llama;
llamatiu;
llanto;
llarg.*;
llastim.*;
llavero;
lletrero;
lliber.*;
llinterna;
logr.*;
luego;
lujo;
luto;
lutxa;
maceta;
madera;
madriguera;
magull.*;
mailing;
maillot;
malogr.*;
manantial;
mançanilla;
manecilla;
maneguets;
manga;
manivela;
manossej.*;
manotej.*;
mansana;
manteca;
manteleria;
marica o maricon;
marimatxo;
mariposa;
màrmol;
marxit.*-se;
màstil;
matarife;
matxac.*, matxuc.*;
medició;
med.*;
mejillons;
melenut;
mella;
mella;
membrillo;
menatge;
mendic;
mendruc;
mengu.*;
mengano;
mengua;
menos ;
menospreci;
mentira;
menut ;
menyique;
menys mal;
merengue;
merlussa;
merm.*;
messeta;
metx.*;
miga;
milloria;
mimbre;
minusvalia;
mirilla;
mirlo;
mixte;
modals;
modorra;
moldures;
moll ;
monasteri;
moned.*;
morrej.*-se;
moscardó;
movilitz.*;
muleta;
munyeca;
musgo;
muslo;
nàcar;
nada menos;
nalga;
navaixa;
naviera;
navio;
neumonia;
ni molt menys;
nitxo;
nispr.*;
nòria;
nòvia;
novillo;
nòvio;
nutr.*;
obisp.*;
oblea;
ocurr.*;
ofert.*;
office;
oïdo;
ójala;
ojo!;
olf.*;
olvid.*;
ombligo;
oràcul;
ordeny.*;
orfelin.*;
orilla;
ote.*;
otonyal;
otorg.*;
ovillo;
pajarita;
palco;
palillo;
panal;
panel;
pantorrilla;
panyals;
panyo;
paper de lija;
papilla;
parabien;
paracaides;
parad.*;
paradògic;
paraigües;
paraís;
pararraios;
paro;
pàrpad;
pàrraf;
parrilla;
part ;
parxe;
pasmosa;
passacalle;
passe;
passillo;
pata;
patada;
paulatinament;
pato;
pavo;
pavor;
peató;
peatonal;
peca;
pedido;
peg.* foc;
pegatina;
pele.*;
peluqueria;
penalti;
pepino;
percanç;
percat.*-se;
permanéix.*;
permit.*;
pertenéix.*;
pescadilla;
pessadilla;
pesunya;
petrol.*;
petxuga;
pimentó;
pistatxo;
pitillo;
pito;
plaç;
plag.*;
plantej.*;
plusvalia;
polaco;
polea;
polilla;
pómez;
poc més o menys;
porcelana;
postre;
postrimeries;
pregó;
pregon.*;
pregon.*;
prenda;
prend.*-se;
préstam;
preten.*;
prevaléix.*;
prim.*;
prob.*;
prògim;
promedi ;
prompte ;
prorrump.*;
proscrib.*;
proveedor;
provist;
pulgada;
pulgar;
quartel;
quarto;
casi;
quatrillissos;
quatrimestre;
quebrant.*;
querida;
querido;
ques;
quico;
quiebra;
quilar;
quilate;
quintal;
ràfaga;
ràfting;
raís de ;
raro;
rascacels;
rasgo;
raspa;
rato;
reaci;
reanud.*;
real;
reanud.*;
rebass.*;
rebat.*;
rebeldia;
rebossant;
reboss.*;
rebusc.*;
recado;
recaïda;
recapacit.*;
recaud.*;
receta;
recibo;
recibidor;
reclu.*;
reconeixible;
recorte;
recurr.*;
red;
redada;
rembolso;
redondej.*;
reemplaç;
reflej.* ;
refrend.*;
refunfuny.*;
registr.* ;
rehén;
rehus.*;
relicari;
rellen.*;
remanent;
rematx.*;
remedi.*;
remend.*;
remendo;
remit.*;
rencor;
renta;
rentabilit.*;
rentista;
reparo;
reparto;
repent ;
repisa;
reposteria;
resbal.*;
respaldo;
resto;
retaguàrdia;
reto;
retràs;
retrete;
retxass.*;
revaloritz.*;
revanxa;
reventó;
revoltijo;
rípio;
rissa;
rite;
riz.*;
rizo;
rodaja;
rompeolas;
ropero;
rosaleda;
ròtul;
ruego;
sabiduria;
sable;
saborej.*;
sabrós;
saltamontes;
salvo;
sangria;
sàrcia;
scànn.*;
sec.*;
seguro, segurs;
seïsme sisme;
sello;
semilla llavor, grana;
sempre i quan;
seno;
senyal.*;
seqüestr.*;
sequia;
s.* que  ;
serio;
serio  ;
sesg.*;
seta;
sha;
sillín;
sin embargo;
slalom;
sobac;
sob.*;
sobresalient;
sofoco;
solomillo;
solvent.*;
sombra;
sonido;
sonrís;
sopòncio;
sosseg.*;
sospetxa;
sótan, sótano;
sponsor;
sublev.*-se;
sudadera;
sud.*;
sueldo;
supondre;
supost;
supost  ;
surdo;
susto;
sustraend;
sustraure;
sutano;
tabic;
tabur.*;
taco;
tal para qual;
tal que  ;
taladr.*;
taladre;
talant;
tallo;
tamany;
tambalej.*;
tantej.*;
taquilla;
tarea;
tatx.*;
telaranya;
tendinitis;
tenedor;
ten.* que; ten.* de, hav.* de, deure
tentació;
terciopelo;
terraplén;
terremoto;
testic;
tild.*;
tilde;
tim.*;
tinglado;
títul;
tiza;
tobillo;
toldo;
tomillo;
tonelada, tonellada;
tonteria;
tonto;
torneu;
tornillo;
tortilla;
tortada;
tortícolis;
tossut;
trage;
traje;
trajo;
tratge;
tratjo;
traicion.*;
transfons;
trastienda;
tregua;
trifulca;
trillissos;
tuberia;
ugi.*;
umbral;
unyero;
urban;
usufructe;
vajilla;
vale;
valiós;
valla;
vanguàrdia;
vano  ;
varis  ;
varonil;
vejiga;
venda;
vendatge;
vendímia;
veneno;
ventanal;
veraneant;
verbena;
verdugo;
verdul.*;
verja;
verosímil;
vertent;
vèrtic;
víbora;
vid;
vinajeres;
virutes;
vistasso;
vivenda;
volteretes;
xabacà;
xapuss.*;
xarco;
xasco;
xatarra;
xilló;
xiringuito;
xiripa;
xist.*;
xiste;
xollo;
xumbera;
zancadilla;
zanja;
zumbador;
zurdo;
